sim,year,cx,cy,cz,volume,mass_kg
34,100,5183.15,2723.86,55.8,86166780.0,793031036.72
34,120,5192.86,2724.03,58.61,92116540.0,928766960.59
34,150,5201.49,2723.16,60.54,96603860.0,1110397064.5
34,200,5216.99,2722.08,63.55,104553540.0,1396187181.9
36,40,5050.0,2550.0,347.82,974960.0,4016302.4007
36,50,5050.0,2550.0,382.34,1949920.0,5521092.7814
36,60,5050.0,2550.0,398.11,2437400.0,6997853.9037
36,80,5050.0,2550.0,394.16,2924880.0,9851802.7545
36,100,5050.0,2550.0,349.96,3899840.0,12584389.149
36,120,5050.88,2550.02,231.67,7362200.0,15156703.717
36,150,5050.99,2550.02,179.8,7562200.0,18782486.694
36,200,5058.88,2550.09,160.03,9999600.0,25000216.346
37,20,5050.0,2550.0,1192.78,2384770.0,25015419.558
37,30,5050.0,2550.0,1145.75,2384770.0,60286245.903
38,30,5050.0,2550.0,715.99,485030.0,7829519.6756
38,40,5050.0,2550.0,766.06,1940120.0,12624342.399
38,50,5050.0,2550.0,776.93,2425150.0,17460072.3
38,60,5050.0,2550.0,782.84,2425150.0,22096502.616
38,80,5050.0,2533.3,775.56,2910180.0,30820051.852
38,100,5050.0,2522.69,763.81,3395210.0,39117190.253
38,120,5052.78,2515.14,748.7,4365270.0,46809011.244
38,150,5055.99,2510.11,734.03,5335330.0,57497120.581
38,200,5061.86,2501.33,707.63,7280350.0,75394064.444
39,20,5054.38,2550.0,1290.38,2809230.0,50258128.588
39,30,5064.3,2550.0,1177.0,6649090.0,114033966.75
39,40,5060.48,2550.0,870.56,13454210.0,183612836.51
39,50,5096.74,2551.4,561.42,27101200.0,254959469.37
39,60,5146.14,2550.88,467.38,39773230.0,319831441.91
39,80,5226.7,2553.84,406.47,63635250.0,434510832.21
39,100,5290.84,2560.74,371.0,82159490.0,541919864.27
39,120,5351.29,2568.78,355.6,95851580.0,638060680.27
39,150,5400.84,2567.07,363.61,108563810.0,767294908.33
39,200,5459.91,2560.46,385.93,119271220.0,972163094.15
41,50,5050.0,2550.0,1055.51,485030.0,13518086.082
41,60,5050.0,2550.0,1145.71,2404960.0,17113595.897
41,80,5050.0,2550.0,1145.45,2404960.0,23919093.818
41,100,5050.0,2550.0,1145.43,2404960.0,30401527.224
41,120,5050.0,2550.0,1146.0,2404960.0,36431486.041
41,150,5050.0,2550.0,1138.62,2889990.0,44837058.496
41,200,5050.0,2550.0,1102.51,3375020.0,58986647.44
42,20,5050.0,2550.0,1097.6,2425150.0,18910866.331
42,30,5050.0,2550.0,1071.36,3395210.0,45843817.366
42,40,5050.0,2550.0,923.11,6305390.0,74826760.772
42,50,5050.26,2549.56,670.7,12152700.0,104391484.92
42,60,5048.19,2546.48,441.06,23952220.0,131741384.55
42,80,5050.44,2547.85,303.25,35176780.0,181091711.62
42,100,5060.58,2549.02,274.78,40246680.0,227546814.64
42,120,5065.47,2548.64,277.13,48616690.0,269607051.55
42,150,5070.47,2549.01,279.54,51634220.0,326764100.15
42,200,5079.41,2548.56,281.01,58656490.0,419007859.09
44,20,5050.0,2550.0,400.07,2437400.0,7384673.1014
44,30,5051.58,2550.25,277.65,5849760.0,17892045.878
44,40,5075.51,2546.32,228.59,11699520.0,29032834.377
44,50,5097.65,2536.42,203.68,17549280.0,40330018.838
44,60,5115.52,2522.03,180.14,27348880.0,50980944.928
44,80,5159.76,2516.68,144.17,43398240.0,70632664.366
44,100,5200.29,2519.29,121.48,60772560.0,89233456.238
44,120,5242.15,2525.14,108.95,75559480.0,106287016.24
44,150,5290.23,2528.9,100.63,88059000.0,129737971.0
44,200,5356.77,2532.1,93.79,112020560.0,168332711.35
45,30,5050.0,2550.0,958.5,485030.0,11680213.31
45,40,5050.0,2550.0,1001.57,1455090.0,18891331.509
45,50,5050.0,2550.0,1000.92,1455090.0,26183348.903
45,60,5050.0,2550.0,1001.6,1455090.0,33118064.245
45,80,5075.57,2550.0,989.02,1940120.0,46043048.995
45,100,5090.1,2533.72,982.25,2425150.0,58307460.926
45,120,5099.72,2520.55,970.86,2910180.0,69616194.972
45,150,5118.89,2504.03,960.8,3880240.0,85251137.325
45,200,5134.09,2483.93,953.01,4365270.0,111213079.51
46,20,5050.0,2550.0,687.08,2910180.0,24736934.029
46,30,5065.47,2550.0,561.83,8745240.0,59636673.057
46,40,5058.54,2550.35,152.4,25957310.0,97347529.248
46,50,5062.44,2552.28,100.29,36649560.0,135876555.03
46,60,5069.2,2554.39,93.08,43771830.0,171334334.91
46,80,5076.92,2557.39,96.47,50116690.0,234921996.49
46,100,5082.65,2558.62,99.49,53826600.0,294688614.62
46,120,5086.67,2559.51,107.12,57338960.0,348614962.19
46,150,5090.52,2559.94,112.97,58903850.0,421658057.17
46,200,5094.6,2561.3,117.28,61341250.0,538907051.07
47,50,5050.0,2550.0,570.48,485030.0,9015217.6151
47,60,5050.0,2550.0,592.45,970060.0,11419202.549
47,80,5050.0,2550.0,608.86,1455090.0,16012500.04
47,100,5050.0,2550.0,607.69,1455090.0,20398015.015
47,120,5050.0,2550.0,606.78,1455090.0,24499447.439
47,150,5070.23,2550.0,603.3,2425150.0,30245544.835
47,200,5080.78,2550.0,609.53,2910180.0,39999732.558
48,20,5053.05,2549.79,505.74,4867450.0,20511483.733
48,30,5062.46,2559.68,410.33,12179650.0,49667899.763
48,40,5074.66,2596.04,225.92,31201440.0,81083017.633
48,50,5104.6,2605.41,169.67,52473150.0,113144398.29
48,60,5137.7,2605.03,143.77,70872430.0,142756715.06
48,80,5201.18,2602.26,121.16,99868860.0,196088831.27
48,100,5255.5,2591.35,111.07,122080500.0,246268862.74
48,120,5302.94,2581.55,109.12,141989770.0,291653736.25
48,150,5357.95,2574.8,108.46,165463850.0,353267065.36
48,200,5432.2,2568.12,108.73,194650210.0,452538949.29
50,100,5050.0,2550.0,543.79,972510.0,7603257.6288
50,120,5050.0,2550.0,582.53,1942570.0,9184174.9603
50,150,5050.0,2550.0,597.74,2427600.0,11426699.806
50,200,5050.0,2550.0,595.48,2427600.0,15313348.048
51,200,5050.0,2550.0,1080.91,1940120.0,15789608.022
53,20,5050.0,2550.0,943.74,2425150.0,27541243.663
53,30,5050.0,2550.0,888.63,2425150.0,66129946.133
53,40,5050.0,2550.0,895.01,2425150.0,107893588.44
53,50,5050.0,2550.0,908.71,2910180.0,150589419.14
53,60,5050.0,2550.0,919.74,2910180.0,189802798.63
53,80,5050.0,2550.0,943.14,2910180.0,259957718.14
53,100,5051.33,2548.86,963.47,4365270.0,325858254.08
53,120,5058.14,2542.77,977.47,7275450.0,385239807.83
53,150,5066.81,2540.58,993.08,10185630.0,465569997.73
53,200,5083.59,2558.02,1006.26,16005990.0,594247552.3
54,20,5050.0,2550.0,891.13,2425150.0,19323808.143
54,30,5050.0,2550.0,769.04,4850300.0,46832544.19
54,40,5056.94,2546.82,653.72,11167940.0,76445020.88
54,50,5062.07,2543.84,593.15,16037840.0,106655856.07
54,60,5074.04,2541.22,560.84,20905290.0,134591593.46
54,80,5100.51,2537.11,530.81,28207690.0,184973705.99
54,100,5132.26,2535.1,511.24,37460010.0,232394202.02
54,120,5164.6,2534.73,507.15,43295070.0,275316425.47
54,150,5221.54,2535.82,500.79,52552290.0,333629296.89
54,200,5305.67,2534.14,490.66,65204720.0,427697052.94
55,20,5050.0,2550.0,861.5,485030.0,15348330.597
55,30,5050.0,2550.0,943.91,2425150.0,37261974.734
55,40,5069.53,2550.0,945.11,4365270.0,60766750.949
55,50,5077.22,2550.0,944.12,4365270.0,84712706.925
55,60,5092.39,2550.12,935.11,7760480.0,106956776.07
55,80,5106.13,2550.14,936.92,8245510.0,147290968.97
55,100,5136.03,2550.1,938.78,9700600.0,185304658.79
55,120,5165.47,2550.0,942.32,10670660.0,219816641.86
55,150,5185.78,2550.0,940.85,11155690.0,266838222.91
55,200,5247.09,2550.0,932.2,13095810.0,343050604.24
56,80,5050.0,2550.0,641.15,970060.0,7215326.2765
56,100,5050.0,2550.0,680.28,1940120.0,9232858.505
56,120,5050.0,2550.0,679.42,1940120.0,11140036.807
56,150,5050.0,2550.0,686.49,2425150.0,13838769.876
56,200,5050.0,2550.0,667.94,2425150.0,18497005.134
57,10,5050.0,2550.0,1234.71,1414710.0,18740401.442
57,20,5055.26,2550.0,1231.53,3274070.0,99820014.469
57,30,5054.86,2532.86,1234.44,6760370.0,196161659.01
57,40,5072.8,2496.83,1235.29,12399020.0,301967869.29
57,50,5087.6,2471.9,1223.97,16451110.0,410725415.19
57,60,5100.08,2460.24,1215.0,18391230.0,508802908.09
57,80,5129.58,2451.59,1214.24,24090450.0,680483597.67
57,100,5156.25,2448.39,1216.44,27425090.0,840892811.22
57,120,5186.82,2449.36,1221.38,30254510.0,983690952.72
57,150,5218.54,2455.13,1232.96,29456300.0,1174643159.8
57,200,5229.69,2463.93,1237.91,27556560.0,1474772283.2
58,30,5050.0,2550.0,473.11,487480.0,5085456.0197
58,40,5050.0,2550.0,458.58,1949920.0,8172726.5225
58,50,5050.0,2550.0,451.97,1949920.0,11277245.229
58,60,5050.0,2550.0,425.3,2437400.0,14280183.436
58,80,5060.23,2550.0,399.33,4872350.0,19988107.627
58,100,5071.01,2550.0,384.09,5847310.0,25430774.564
58,120,5082.41,2550.0,383.46,6334790.0,30505749.55
58,150,5108.22,2550.0,377.45,7799680.0,37596047.655
58,200,5138.59,2550.0,370.59,9749600.0,49576406.317
59,50,5050.0,2550.0,1242.32,2364580.0,16553620.36
